Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
820,CityNameDropdown,Hotel Booking,Linux,Python,city name dropdown,isLoggedIn,cityName:String
821,CityNameWithState,Hotel Booking,Linux,Python,city name dropdown with state,x,x
822,ClassTypeAndQuota,Railway Booking,Linux,Python,class type dropdown and quota type dropdown,x,x
823,ClassTypeAndQuota,Bus Booking,Linux,Python,class type dropdown and quota type dropdown,x,x
824,DateOfJourney,Bus Booking,Linux,Python,date of journey input,x,x
825,DateOfJourney,Railway Booking,Linux,Python,date of journey input,x,x
826,DatePicker,Educational,Linux,Python,year of birth input,x,yearofbirth
827,FromCityToCity,Bus Booking,Linux,Python,From city dropdown and to city dropdown select,x,x
828,FromCityToCity,Railway Booking,Linux,Python,From city dropdown and to city dropdown select,x,x
829,FromCityToCityDOJ,Flight Booking,Linux,Python,From city dropdown and to city dropdown and date of journey select,x,x
830,FromDateToDate,Hotel Booking,Linux,Python,from date and to date input,x,x
831,GetFlights,Flight Booking,Linux,Python,"get flights button to search for flights using from city name , to city name and date of journey",x,x
832,GetTrains,Railway Booking,Linux,Python,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
833,GSTCalculator,x,Linux,Python,gst calculate on amount or fare,amountV,amountV
834,HotelList,Hotel Booking,Linux,Python,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
835,HotelRentCalculator,Hotel Booking,Linux,Python,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
836,HotelSearch,Hotel Booking,Linux,Python,search hotels using city name,cityName,ids:String[]
837,login,x,Linux,Python,Login using username and password,x,x
838,loginCaptcha,x,Linux,Python,"Login page using username, password and captcha",x,loggedInV
839,NumberOfItems,Ecommerce,Linux,Python,number of items dropdown,x,x
840,PassengerDetails,Railway Booking,Linux,Python,"add details of passenger with input of name , age , gender  , phone number ",x,x
841,PassengerDetails,Bus Booking,Linux,Python,"add details of passenger with input of name , age , gender  , phone number ",x,x
842,PaymentPageUI3,x,Linux,Python,"payment page is displayed with options like credit card, debit card , netbanking, upi and cash",x,paymentStatusV
843,ProductCategory,Ecommerce,Linux,Python,product category dropdown,x,productCategorySelectedV
844,ProductFareCalculator,Ecommerce,Linux,Python,"product fare calculate using product price, number of items and discount percentage",x,x
845,ProductSearch,Ecommerce,Linux,Python,search of products using product name and product category and list of products  display ,x,selectedProductV
846,ProductSearchUI,Ecommerce,Linux,Python,search box to search product using name,x,searchTermV
847,ThankYou,Ecommerce,Linux,Python,Thank you page with username and order again option,x,x
848,TrainBookingConfirmed,Railway Booking,Linux,Python,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
849,TrainDisplayUI,Railway Booking,Linux,Python,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
850,BusBookingConfirmed,Bus Booking,Linux,Python,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
851,BusDisplayUI,Bus Booking,Linux,Python,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
852,VideoList,Online Video,Linux,Python,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
853,YoutubeVideoPlay,Online Video,Linux,Python,youtube video player with video id ,videoId,x
854,AddBookUI,Library Management,MacOS,Python,"add book ui using author name, book name and year",,
855,AddBookUI,Supply Chain,MacOS,Python,"add book ui using author name, book name and year",,
856,AgeCalculate,Educational,MacOS,Python,calculate age using year of birth,yearofbirth,age
857,AgeDisplay,Educational,MacOS,Python,display the calculated age,age,x
858,AuthorAndGenre,Library Management,MacOS,Python,author name dropdown and genre dropdown,x,x
859,AuthorNameAndGenre,Supply Chain,MacOS,Python,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
860,BerthAvailabilty,Railway Booking,MacOS,Python,"check for available berths using the values like train number ,DOJ, from and to city",x,x
861,BerthAvailabilty,Bus Booking,MacOS,Python,"check for available berths using the values like train number ,DOJ, from and to city",x,x
862,BerthAvailabilty,Bus Booking,MacOS,Python,"check for available berths using the values like train number ,DOJ, from and to city",x,x
863,BerthAvailabilty,Bus Booking,MacOS,Python,"check for available berths using the values like train number ,DOJ, from and to city",x,x
864,BookAddedSuccessfullyDialog,Library Management,MacOS,Python,book added sucessfully dialog,bookAddedSuccessful,x
865,BookAddedSuccessfullyDialog,Supply Chain,MacOS,Python,book added sucessfully dialog,bookAddedSuccessful,x
866,BookList,Library Management,MacOS,Python,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
867,BookList,Supply Chain,MacOS,Python,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
868,CityNameDropdown,Hotel Booking,MacOS,Python,city name dropdown,isLoggedIn,cityName:String
869,CityNameWithState,Hotel Booking,MacOS,Python,city name dropdown with state,x,x
870,ClassTypeAndQuota,Railway Booking,MacOS,Python,class type dropdown and quota type dropdown,x,x
871,ClassTypeAndQuota,Bus Booking,MacOS,Python,class type dropdown and quota type dropdown,x,x
872,DateOfJourney,Bus Booking,MacOS,Python,date of journey input,x,x
873,DateOfJourney,Railway Booking,MacOS,Python,date of journey input,x,x
874,DatePicker,Educational,MacOS,Python,year of birth input,x,yearofbirth
875,FromCityToCity,Bus Booking,MacOS,Python,From city dropdown and to city dropdown select,x,x
876,FromCityToCity,Railway Booking,MacOS,Python,From city dropdown and to city dropdown select,x,x
877,FromCityToCityDOJ,Flight Booking,MacOS,Python,From city dropdown and to city dropdown and date of journey select,x,x
878,FromDateToDate,Hotel Booking,MacOS,Python,from date and to date input,x,x
879,GetFlights,Flight Booking,MacOS,Python,"get flights button to search for flights using from city name , to city name and date of journey",x,x
880,GetTrains,Railway Booking,MacOS,Python,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
881,GSTCalculator,x,MacOS,Python,gst calculate on amount or fare,amountV,amountV
882,HotelList,Hotel Booking,MacOS,Python,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
883,HotelRentCalculator,Hotel Booking,MacOS,Python,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
884,HotelSearch,Hotel Booking,MacOS,Python,search for hotels using city and state name,x,x
885,login,x,MacOS,Python,Login using username and password,x,x
886,loginCaptcha,x,MacOS,Python,"Login page using username, password and captcha",x,loggedInV
887,NumberOfItems,Ecommerce,MacOS,Python,number of items dropdown,x,x
888,PassengerDetails,Railway Booking,MacOS,Python,"add details of passenger with input of name , age , gender  , phone number ",x,x
889,PassengerDetails,Bus Booking,MacOS,Python,"add details of passenger with input of name , age , gender  , phone number ",x,x
890,PaymentPageUI3,x,MacOS,Python,"payment page is displayed with options like credit card, debit card , netbanking, upi and cash",x,paymentStatusV
891,ProductCategory,Ecommerce,MacOS,Python,product category dropdown,x,productCategorySelectedV
892,ProductFareCalculator,Ecommerce,MacOS,Python,"product fare calculate using product price, number of items and discount percentage",x,x
893,ProductSearch,Ecommerce,MacOS,Python,search of products using product name and product category and list of products  display ,x,selectedProductV
894,ProductSearchUI,Ecommerce,MacOS,Python,search box to search product using name,x,searchTermV
895,ThankYou,Ecommerce,MacOS,Python,Thank you page with username and order again option,x,x
896,TrainBookingConfirmed,Railway Booking,MacOS,Python,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
897,TrainDisplayUI,Railway Booking,MacOS,Python,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
898,BusBookingConfirmed,Bus Booking,MacOS,Python,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
899,BusDisplayUI,Bus Booking,MacOS,Python,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
900,VideoList,Online Video,MacOS,Python,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
901,YoutubeVideoPlay,Online Video,MacOS,Python,youtube video player with video id ,videoId,x
902,AddBookUI,Library Management,Windows,Python,"add book ui using author name, book name and year",,
903,AddBookUI,Supply Chain,Windows,Python,"add book ui using author name, book name and year",,
904,AgeCalculate,Educational,Windows,Python,calculate age using year of birth,yearofbirth,age
905,AgeDisplay,Educational,Windows,Python,display the calculated age,age,x
906,AuthorAndGenre,Library Management,Windows,Python,author name dropdown and genre dropdown,x,x
907,AuthorNameAndGenre,Supply Chain,Windows,Python,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
908,BerthAvailabilty,Railway Booking,Windows,Python,"check for available berths using the values like train number ,DOJ, from and to city",x,x
909,BookAddedSuccessfullyDialog,Library Management,Windows,Python,book added sucessfully dialog,bookAddedSuccessful,x
910,BookAddedSuccessfullyDialog,Supply Chain,Windows,Python,book added sucessfully dialog,bookAddedSuccessful,x
911,BookList,Library Management,Windows,Python,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
912,BookList,Supply Chain,Windows,Python,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
913,CityNameDropdown,Hotel Booking,Windows,Python,city name dropdown,isLoggedIn,cityName:String
914,CityNameWithState,Hotel Booking,Windows,Python,city name dropdown with state,x,x
915,ClassTypeAndQuota,Railway Booking,Windows,Python,class type dropdown and quota type dropdown,x,x
916,ClassTypeAndQuota,Bus Booking,Windows,Python,class type dropdown and quota type dropdown,x,x
917,DateOfJourney,Bus Booking,Windows,Python,date of journey input,x,x
918,DateOfJourney,Railway Booking,Windows,Python,date of journey input,x,x
919,DatePicker,Educational,Windows,Python,year of birth input,x,yearofbirth
920,FromCityToCity,Bus Booking,Windows,Python,From city dropdown and to city dropdown select,x,x
921,FromCityToCity,Railway Booking,Windows,Python,From city dropdown and to city dropdown select,x,x
922,FromCityToCityDOJ,Flight Booking,Windows,Python,From city dropdown and to city dropdown and date of journey select,x,x
923,FromDateToDate,Hotel Booking,Windows,Python,from date and to date input,x,x
924,GetFlights,Flight Booking,Windows,Python,"get flights button to search for flights using from city name , to city name and date of journey",x,x
925,GetTrains,Railway Booking,Windows,Python,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
926,GSTCalculator,x,Windows,Python,gst calculate on amount or fare,amountV,amountV
927,HotelList,Hotel Booking,Windows,Python,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
928,HotelRentCalculator,Hotel Booking,Windows,Python,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
929,HotelSearch,Hotel Booking,Windows,Python,search for hotels using city and state name,x,x
930,login,x,Windows,Python,Login using username and password,x,x
931,loginCaptcha,x,Windows,Python,"Login page using username, password and captcha",x,loggedInV
932,NumberOfItems,Ecommerce,Windows,Python,number of items dropdown,x,x
933,PassengerDetails,Railway Booking,Windows,Python,"add details of passenger with input of name , age , gender  , phone number ",x,x
934,PassengerDetails,Bus Booking,Windows,Python,"add details of passenger with input of name , age , gender  , phone number ",x,x
935,PaymentPageUI3,x,Windows,Python,"payment page is displayed with options like credit card, debit card , netbanking, upi and cash",x,paymentStatusV
936,ProductCategory,Ecommerce,Windows,Python,product category dropdown,x,productCategorySelectedV
937,ProductFareCalculator,Ecommerce,Windows,Python,"product fare calculate using product price, number of items and discount percentage",x,x
938,ProductSearch,Ecommerce,Windows,Python,search of products using product name and product category and list of products  display ,x,selectedProductV
939,ProductSearchUI,Ecommerce,Windows,Python,search box to search product using name,x,searchTermV
940,ThankYou,Ecommerce,Windows,Python,Thank you page with username and order again option,x,x
941,TrainBookingConfirmed,Railway Booking,Windows,Python,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
942,TrainDisplayUI,Railway Booking,Windows,Python,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
943,BusBookingConfirmed,Bus Booking,Windows,Python,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
944,BusDisplayUI,Bus Booking,Windows,Python,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
945,VideoList,Online Video,Windows,Python,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
946,YoutubeVideoPlay,Online Video,Windows,Python,youtube video player with video id ,videoId,x
947,AddBookUI,Library Management,Linux,PythonTKinter,"add book ui using author name, book name and year",,
948,AddBookUI,Supply Chain,Linux,PythonTKinter,"add book ui using author name, book name and year",,
949,AgeCalculate,Educational,Linux,PythonTKinter,calculate age using year of birth,yearofbirth,age
950,AgeDisplay,Educational,Linux,PythonTKinter,display the calculated age,age,x
951,AuthorAndGenre,Library Management,Linux,PythonTKinter,author name dropdown and genre dropdown,x,x
952,AuthorNameAndGenre,Supply Chain,Linux,PythonTKinter,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
953,BerthAvailabilty,Railway Booking,Linux,PythonTKinter,"check for available berths using the values like train number ,DOJ, from and to city",x,x
954,BookAddedSuccessfullyDialog,Library Management,Linux,PythonTKinter,book added sucessfully dialog,bookAddedSuccessful,x
955,BookAddedSuccessfullyDialog,Supply Chain,Linux,PythonTKinter,book added sucessfully dialog,bookAddedSuccessful,x
956,BookList,Library Management,Linux,PythonTKinter,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
957,BookList,Supply Chain,Linux,PythonTKinter,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
958,CityNameDropdown,Hotel Booking,Linux,PythonTKinter,city name dropdown,isLoggedIn,cityName:String
959,CityNameWithState,Hotel Booking,Linux,PythonTKinter,city name dropdown with state,x,x
960,ClassTypeAndQuota,Railway Booking,Linux,PythonTKinter,class type dropdown and quota type dropdown,x,x
961,ClassTypeAndQuota,Bus Booking,Linux,PythonTKinter,class type dropdown and quota type dropdown,x,x
962,DateOfJourney,Bus Booking,Linux,PythonTKinter,date of journey input,x,x
963,DateOfJourney,Railway Booking,Linux,PythonTKinter,date of journey input,x,x
964,DatePicker,Educational,Linux,PythonTKinter,year of birth input,x,yearofbirth
965,FromCityToCity,Bus Booking,Linux,PythonTKinter,From city dropdown and to city dropdown select,x,x
966,FromCityToCity,Railway Booking,Linux,PythonTKinter,From city dropdown and to city dropdown select,x,x
967,FromCityToCityDOJ,Flight Booking,Linux,PythonTKinter,From city dropdown and to city dropdown and date of journey select,x,x
968,FromDateToDate,Hotel Booking,Linux,PythonTKinter,from date and to date input,x,x
969,GetFlights,Flight Booking,Linux,PythonTKinter,"get flights button to search for flights using from city name , to city name and date of journey",x,x
970,GetTrains,Railway Booking,Linux,PythonTKinter,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
971,GSTCalculator,x,Linux,PythonTKinter,gst calculate on amount or fare,amountV,amountV
972,HotelList,Hotel Booking,Linux,PythonTKinter,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
973,HotelRentCalculator,Hotel Booking,Linux,PythonTKinter,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
974,HotelSearch,Hotel Booking,Linux,PythonTKinter,search hotels using city name,cityName,ids:String[]
975,login,x,Linux,PythonTKinter,Login using username and password,x,x
976,loginCaptcha,x,Linux,PythonTKinter,"Login page using username, password and captcha",x,loggedInV
977,NumberOfItems,Ecommerce,Linux,PythonTKinter,number of items dropdown,x,x
978,PassengerDetails,Railway Booking,Linux,PythonTKinter,"add details of passenger with input of name , age , gender  , phone number ",x,x
979,PassengerDetails,Bus Booking,Linux,PythonTKinter,"add details of passenger with input of name , age , gender  , phone number ",x,x
980,PaymentPageUI3,x,Linux,PythonTKinter,"payment page is displayed with options like credit card, debit card , netbanking, upi and cash",x,paymentStatusV
981,ProductCategory,Ecommerce,Linux,PythonTKinter,product category dropdown,x,productCategorySelectedV
982,ProductFareCalculator,Ecommerce,Linux,PythonTKinter,"product fare calculate using product price, number of items and discount percentage",x,x
983,ProductSearch,Ecommerce,Linux,PythonTKinter,search of products using product name and product category and list of products  display ,x,selectedProductV
984,ProductSearchUI,Ecommerce,Linux,PythonTKinter,search box to search product using name,x,searchTermV
985,ThankYou,Ecommerce,Linux,PythonTKinter,Thank you page with username and order again option,x,x
986,TrainBookingConfirmed,Railway Booking,Linux,PythonTKinter,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
987,TrainDisplayUI,Railway Booking,Linux,PythonTKinter,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
988,BusBookingConfirmed,Bus Booking,Linux,PythonTKinter,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
989,BusDisplayUI,Bus Booking,Linux,PythonTKinter,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
990,VideoList,Online Video,Linux,PythonTKinter,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
991,YoutubeVideoPlay,Online Video,Linux,PythonTKinter,youtube video player with video id ,videoId,x
992,AddBookUI,Library Management,MacOS,PythonTKinter,"add book ui using author name, book name and year",,
993,AddBookUI,Supply Chain,MacOS,PythonTKinter,"add book ui using author name, book name and year",,
994,AgeCalculate,Educational,MacOS,PythonTKinter,calculate age using year of birth,yearofbirth,age
995,AgeDisplay,Educational,MacOS,PythonTKinter,display the calculated age,age,x
996,AuthorAndGenre,Library Management,MacOS,PythonTKinter,author name dropdown and genre dropdown,x,x
997,AuthorNameAndGenre,Supply Chain,MacOS,PythonTKinter,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
998,BerthAvailabilty,Railway Booking,MacOS,PythonTKinter,"check for available berths using the values like train number ,DOJ, from and to city",x,x
999,BerthAvailabilty,Bus Booking,MacOS,PythonTKinter,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1000,BerthAvailabilty,Bus Booking,MacOS,PythonTKinter,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1001,BerthAvailabilty,Bus Booking,MacOS,PythonTKinter,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1002,BookAddedSuccessfullyDialog,Library Management,MacOS,PythonTKinter,book added sucessfully dialog,bookAddedSuccessful,x
1003,BookAddedSuccessfullyDialog,Supply Chain,MacOS,PythonTKinter,book added sucessfully dialog,bookAddedSuccessful,x
1004,BookList,Library Management,MacOS,PythonTKinter,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1005,BookList,Supply Chain,MacOS,PythonTKinter,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1006,CityNameDropdown,Hotel Booking,MacOS,PythonTKinter,city name dropdown,isLoggedIn,cityName:String
1007,CityNameWithState,Hotel Booking,MacOS,PythonTKinter,city name dropdown with state,x,x
1008,ClassTypeAndQuota,Railway Booking,MacOS,PythonTKinter,class type dropdown and quota type dropdown,x,x
1009,ClassTypeAndQuota,Bus Booking,MacOS,PythonTKinter,class type dropdown and quota type dropdown,x,x
1010,DateOfJourney,Bus Booking,MacOS,PythonTKinter,date of journey input,x,x
1011,DateOfJourney,Railway Booking,MacOS,PythonTKinter,date of journey input,x,x
1012,DatePicker,Educational,MacOS,PythonTKinter,year of birth input,x,yearofbirth
1013,FromCityToCity,Bus Booking,MacOS,PythonTKinter,From city dropdown and to city dropdown select,x,x
1014,FromCityToCity,Railway Booking,MacOS,PythonTKinter,From city dropdown and to city dropdown select,x,x
1015,FromCityToCityDOJ,Flight Booking,MacOS,PythonTKinter,From city dropdown and to city dropdown and date of journey select,x,x
1016,FromDateToDate,Hotel Booking,MacOS,PythonTKinter,from date and to date input,x,x
1017,GetFlights,Flight Booking,MacOS,PythonTKinter,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1018,GetTrains,Railway Booking,MacOS,PythonTKinter,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1019,GSTCalculator,x,MacOS,PythonTKinter,gst calculate on amount or fare,amountV,amountV
1020,HotelList,Hotel Booking,MacOS,PythonTKinter,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
1021,HotelRentCalculator,Hotel Booking,MacOS,PythonTKinter,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1022,HotelSearch,Hotel Booking,MacOS,PythonTKinter,search for hotels using city and state name,x,x
1023,login,x,MacOS,PythonTKinter,Login using username and password,x,x
1024,loginCaptcha,x,MacOS,PythonTKinter,"Login page using username, password and captcha",x,loggedInV
1025,NumberOfItems,Ecommerce,MacOS,PythonTKinter,number of items dropdown,x,x
1026,PassengerDetails,Railway Booking,MacOS,PythonTKinter,"add details of passenger with input of name , age , gender  , phone number ",x,x
1027,PassengerDetails,Bus Booking,MacOS,PythonTKinter,"add details of passenger with input of name , age , gender  , phone number ",x,x
1028,PaymentPageUI3,x,MacOS,PythonTKinter,"payment page is displayed with options like credit card, debit card , netbanking, upi and cash",x,paymentStatusV
1029,ProductCategory,Ecommerce,MacOS,PythonTKinter,product category dropdown,x,productCategorySelectedV
1030,ProductFareCalculator,Ecommerce,MacOS,PythonTKinter,"product fare calculate using product price, number of items and discount percentage",x,x
1031,ProductSearch,Ecommerce,MacOS,PythonTKinter,search of products using product name and product category and list of products  display ,x,selectedProductV
1032,ProductSearchUI,Ecommerce,MacOS,PythonTKinter,search box to search product using name,x,searchTermV
1033,ThankYou,Ecommerce,MacOS,PythonTKinter,Thank you page with username and order again option,x,x
1034,TrainBookingConfirmed,Railway Booking,MacOS,PythonTKinter,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1035,TrainDisplayUI,Railway Booking,MacOS,PythonTKinter,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1036,BusBookingConfirmed,Bus Booking,MacOS,PythonTKinter,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1037,BusDisplayUI,Bus Booking,MacOS,PythonTKinter,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1038,VideoList,Online Video,MacOS,PythonTKinter,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1039,YoutubeVideoPlay,Online Video,MacOS,PythonTKinter,youtube video player with video id ,videoId,x
1040,AddBookUI,Library Management,Windows,PythonTKinter,"add book ui using author name, book name and year",,
1041,AddBookUI,Supply Chain,Windows,PythonTKinter,"add book ui using author name, book name and year",,
1042,AgeCalculate,Educational,Windows,PythonTKinter,calculate age using year of birth,yearofbirth,age
1043,AgeDisplay,Educational,Windows,PythonTKinter,display the calculated age,age,x
1044,AuthorAndGenre,Library Management,Windows,PythonTKinter,author name dropdown and genre dropdown,x,x
1045,AuthorNameAndGenre,Supply Chain,Windows,PythonTKinter,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
1046,BerthAvailabilty,Railway Booking,Windows,PythonTKinter,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1047,BookAddedSuccessfullyDialog,Library Management,Windows,PythonTKinter,book added sucessfully dialog,bookAddedSuccessful,x
1048,BookAddedSuccessfullyDialog,Supply Chain,Windows,PythonTKinter,book added sucessfully dialog,bookAddedSuccessful,x
1049,BookList,Library Management,Windows,PythonTKinter,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1050,BookList,Supply Chain,Windows,PythonTKinter,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1051,CityNameDropdown,Hotel Booking,Windows,PythonTKinter,city name dropdown,isLoggedIn,cityName:String
1052,CityNameWithState,Hotel Booking,Windows,PythonTKinter,city name dropdown with state,x,x
1053,ClassTypeAndQuota,Railway Booking,Windows,PythonTKinter,class type dropdown and quota type dropdown,x,x
1054,ClassTypeAndQuota,Bus Booking,Windows,PythonTKinter,class type dropdown and quota type dropdown,x,x
1055,DateOfJourney,Bus Booking,Windows,PythonTKinter,date of journey input,x,x
1056,DateOfJourney,Railway Booking,Windows,PythonTKinter,date of journey input,x,x
1057,DatePicker,Educational,Windows,PythonTKinter,year of birth input,x,yearofbirth
1058,FromCityToCity,Bus Booking,Windows,PythonTKinter,From city dropdown and to city dropdown select,x,x
1059,FromCityToCity,Railway Booking,Windows,PythonTKinter,From city dropdown and to city dropdown select,x,x
1060,FromCityToCityDOJ,Flight Booking,Windows,PythonTKinter,From city dropdown and to city dropdown and date of journey select,x,x
1061,FromDateToDate,Hotel Booking,Windows,PythonTKinter,from date and to date input,x,x
1062,GetFlights,Flight Booking,Windows,PythonTKinter,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1063,GetTrains,Railway Booking,Windows,PythonTKinter,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1064,GSTCalculator,x,Windows,PythonTKinter,gst calculate on amount or fare,amountV,amountV
1065,HotelList,Hotel Booking,Windows,PythonTKinter,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
1066,HotelRentCalculator,Hotel Booking,Windows,PythonTKinter,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1067,HotelSearch,Hotel Booking,Windows,PythonTKinter,search for hotels using city and state name,x,x
1068,login,x,Windows,PythonTKinter,Login using username and password,x,x
1069,loginCaptcha,x,Windows,PythonTKinter,"Login page using username, password and captcha",x,loggedInV
1070,NumberOfItems,Ecommerce,Windows,PythonTKinter,number of items dropdown,x,x
1071,PassengerDetails,Railway Booking,Windows,PythonTKinter,"add details of passenger with input of name , age , gender  , phone number ",x,x
1072,PassengerDetails,Bus Booking,Windows,PythonTKinter,"add details of passenger with input of name , age , gender  , phone number ",x,x
1073,PaymentPageUI3,x,Windows,PythonTKinter,"payment page is displayed with options like credit card, debit card , netbanking, upi and cash",x,paymentStatusV
1074,ProductCategory,Ecommerce,Windows,PythonTKinter,product category dropdown,x,productCategorySelectedV
1075,ProductFareCalculator,Ecommerce,Windows,PythonTKinter,"product fare calculate using product price, number of items and discount percentage",x,x
1076,ProductSearch,Ecommerce,Windows,PythonTKinter,search of products using product name and product category and list of products  display ,x,selectedProductV
1077,ProductSearchUI,Ecommerce,Windows,PythonTKinter,search box to search product using name,x,searchTermV
1078,ThankYou,Ecommerce,Windows,PythonTKinter,Thank you page with username and order again option,x,x
1079,TrainBookingConfirmed,Railway Booking,Windows,PythonTKinter,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1080,TrainDisplayUI,Railway Booking,Windows,PythonTKinter,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1081,BusBookingConfirmed,Bus Booking,Windows,PythonTKinter,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1082,BusDisplayUI,Bus Booking,Windows,PythonTKinter,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1083,VideoList,Online Video,Windows,PythonTKinter,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1084,YoutubeVideoPlay,Online Video,Windows,PythonTKinter,youtube video player with video id ,videoId,x
1085,AddBookUI,Library Management,Linux,React,"add book ui using author name, book name and year",x,x
1086,AddBookUI,Supply Chain,Linux,React,"add book ui using author name, book name and year",x,x
1087,AuthorAndGenre,Library Management,Linux,React,author name dropdown and genre dropdown,x,x
1088,AuthorAndGenre,Supply Chain,Linux,React,author name dropdown and genre dropdown,x,x
1089,BerthAvailabilty,Railway Booking,Linux,React,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1090,BerthAvailabilty,Bus Booking,Linux,React,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1091,BerthAvailabilty,Bus Booking,Linux,React,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1092,BerthAvailabilty,Bus Booking,Linux,React,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1093,BookAddedSuccessfullyDialog,Library Management,Linux,React,book added sucessfully dialog,bookAddedSuccessful,x
1094,BookAddedSuccessfullyDialog,Supply Chain,Linux,React,book added sucessfully dialog,bookAddedSuccessful,x
1095,BookingConfirmation,Hotel Booking,Linux,React,confirmation page display,x,x
1096,BookList,Library Management,Linux,React,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1097,BookList,Supply Chain,Linux,React,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1098,CalculateAgeScreen,Educational,Linux,React,Calculate age using date picker and date of birth,loggedIn,age
